                     TT10M      WS10M    WD10M     SA10M   PRESSURE RAD-SOLAR RAD-TOTAL   RAD-NET  2-10M DT  Pasquill USTAR-Dry USTAR-Moist OBK-Dry Obk_Moist   ZI-OBS    ZI-DRY   ZI-MOIST  STACK-TT  STACK-VS    Q-SF6     Q-SO2  SF6PPB CONV SO2PPT CONV
  YY MM DD JDAYHR      (K)      (M/S)    (DEG)     (DEG)      (MB)    (W/M^2)   (W/M^2)   (W/M^2)    (C)     Category    (M/S)     (M/S)      (M)       (M)       (M)       (M)       (M)       (K)       (M/S)     (G/S)     (G/S)   (ug/PPB)    (ug/PPT)
  80  4  3  94 12    292.80      2.20   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     15.10   -999.99   3817.70  6.0765E-03  2.6637E+00
  80  4  3  94 13    292.80   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     15.90   -999.99   3995.60  6.0765E-03  2.6637E+00
  80  4  3  94 14    292.80   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.10   -999.99   4107.40  6.0765E-03  2.6637E+00
  80  4  3  94 15    292.80      8.90   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.20   -999.99   4084.50  6.0765E-03  2.6637E+00
  80  4  3  94 16    291.90      9.40   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.00   -999.99   3988.10  6.0952E-03  2.6719E+00
  80  4  3  94 17    288.80      8.50   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.30   -999.99   4003.70  6.1606E-03  2.7005E+00
  80  4  3  94 18    285.50      8.90   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.50   -999.99   4095.70  6.2318E-03  2.7318E+00
  80  4  3  94 19    284.80      8.50   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.70   -999.99   3984.50  6.2471E-03  2.7385E+00
  80  4  3  94 20    283.90      8.50   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     17.00   -999.99   4096.60  6.2669E-03  2.7472E+00
  80  4  3  94 21    283.90      7.60   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     17.00   -999.99   4129.90  6.2669E-03  2.7472E+00
  80  4  3  94 22    283.90      8.50   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.90   -999.99   4102.60  6.2669E-03  2.7472E+00
  80  4  3  94 23    282.40      8.00   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.40   -999.99   3868.10  6.3002E-03  2.7617E+00
  80  4  3  94 24    281.50      8.50   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     15.80   -999.99   3612.50  6.3204E-03  2.7706E+00
  80  4  4  95  1    280.80      6.30   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     15.30   -999.99   3771.70  6.3361E-03  2.7775E+00
  80  4  4  95  2    279.90      6.70   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     15.40   -999.99   3813.40  6.3565E-03  2.7864E+00
  80  4  4  95  3    279.90      5.80   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     15.70   -999.99   3877.00  6.3565E-03  2.7864E+00
  80  4  4  95  4    279.10      6.30   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     15.80   -999.99   3743.70  6.3747E-03  2.7944E+00
  80  4  4  95  5    279.10      7.20   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     15.40   -999.99   3873.70  6.3747E-03  2.7944E+00
  80  4  4  95  6    278.40      8.90   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.00   -999.99   4418.50  6.3908E-03  2.8014E+00
  80  4  4  95  7    278.40      9.40   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.30   -999.99   4594.10  6.3908E-03  2.8014E+00
  80  4  4  95  8    278.40      8.90   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.70   -999.99   4496.20  6.3908E-03  2.8014E+00
  80  4  4  95  9    278.40      8.50   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.40   -999.99   4317.40  6.3908E-03  2.8014E+00
  80  4  4  95 10    278.40      8.00   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     15.90   -999.99   4517.30  6.3908E-03  2.8014E+00
  80  4  4  95 11    279.10      7.20   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.00   -999.99   4530.80  6.3747E-03  2.7944E+00
  80  4  4  95 12    279.90      8.00   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.00   -999.99   4549.20  6.3565E-03  2.7864E+00
  80  4  4  95 13    281.50      8.50   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.10   -999.99   4510.90  6.3204E-03  2.7706E+00
  80  4  4  95 14    281.50      8.90   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.00   -999.99   4677.90  6.3204E-03  2.7706E+00
  80  4  4  95 15    282.40      8.00   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.70   -999.99   4557.60  6.3002E-03  2.7617E+00
  80  4  4  95 16    283.10      0.70   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.80   -999.99   4527.80  6.2847E-03  2.7549E+00
  80  4  4  95 17    283.90      6.30   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     18.20   -999.99   4813.60  6.2669E-03  2.7472E+00
  80  4  4  95 18    283.90      4.00   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     18.10   -999.99   4760.10  6.2669E-03  2.7472E+00
  80  4  4  95 19    283.10      3.10   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     18.60   -999.99   4921.70  6.2847E-03  2.7549E+00
  80  4  4  95 20    283.10      2.20   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     18.10   -999.99   4851.60  6.2847E-03  2.7549E+00
  80  4  4  95 21    282.40      2.20   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     20.50   -999.99   4793.90  6.3002E-03  2.7617E+00
  80  4  4  95 22    281.50      2.70   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     20.30   -999.99   4842.60  6.3204E-03  2.7706E+00
  80  4  4  95 23    281.50      3.10   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     19.20   -999.99   4674.70  6.3204E-03  2.7706E+00
  80  4  4  95 24    282.40      3.10   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     18.60   -999.99   4618.40  6.3002E-03  2.7617E+00
  80  4  5  96  1    281.50      2.70   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     17.80   -999.99   4493.70  6.3204E-03  2.7706E+00
  80  4  5  96  2    280.80      3.10   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     18.20   -999.99   4688.20  6.3361E-03  2.7775E+00
  80  4  5  96  3    279.90      3.60   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     18.40   -999.99   4843.30  6.3565E-03  2.7864E+00
  80  4  5  96  4    279.90      3.60   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     18.30   -999.99   4927.10  6.3565E-03  2.7864E+00
  80  4  5  96  5    279.10      4.00   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     19.00   -999.99   5133.40  6.3747E-03  2.7944E+00
  80  4  5  96  6    279.10      4.00   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     18.80   -999.99   4917.10  6.3747E-03  2.7944E+00
  80  4  5  96  7    278.40      2.70   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     17.10   -999.99   4251.40  6.3908E-03  2.8014E+00
  80  4  5  96  8    280.80      2.70   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     17.30   -999.99   4351.20  6.3361E-03  2.7775E+00
  80  4  5  96  9   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     17.30   -999.99   4789.50  6.0692E-03  2.6605E+00
  80  4  5  96 10   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.40   -999.99   4855.50  6.0692E-03  2.6605E+00
  80  4  5  96 11   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.10   -999.99   4645.80  6.0692E-03  2.6605E+00
  80  4  5  96 12   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.60   -999.99   4822.70  6.0692E-03  2.6605E+00
  80  4  5  96 13   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.80   -999.99   4899.30  6.0692E-03  2.6605E+00
  80  4  5  96 14   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     15.90   -999.99   4601.40  6.0692E-03  2.6605E+00
  80  4  5  96 15   -999.99      3.60   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.00   -999.99   4585.90  6.0692E-03  2.6605E+00
  80  4  5  96 16    289.50      3.10   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.00   -999.99   4707.40  6.1457E-03  2.6940E+00
  80  4  5  96 17    290.40      3.10   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     15.50   -999.99   4407.00  6.1267E-03  2.6857E+00
  80  4  5  96 18    289.50      3.10   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     14.70   -999.99   3982.10  6.1457E-03  2.6940E+00
  80  4  5  96 19    288.80      2.70   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     13.50   -999.99   3824.40  6.1606E-03  2.7005E+00
  80  4  5  96 20    286.40      3.10   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     14.40   -999.99   3841.30  6.2122E-03  2.7232E+00
  80  4  5  96 21    284.80      3.10   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     15.90   -999.99   4297.60  6.2471E-03  2.7385E+00
  80  4  5  96 22    283.90      3.60   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     17.20   -999.99   4309.30  6.2669E-03  2.7472E+00
  80  4  5  96 23    283.90      4.00   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     18.40   -999.99   4555.30  6.2669E-03  2.7472E+00
  80  4  5  96 24    283.90      4.50   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     17.90   -999.99   4435.80  6.2669E-03  2.7472E+00
  80  4  6  97  1    283.10      4.90   -999.99   -999.99    997.60   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     17.10   -999.99   4000.00  6.1876E-03  2.7124E+00
  80  4  6  97  2    283.10      5.80   -999.99   -999.99    997.00   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     17.30   -999.99   4239.90  6.1839E-03  2.7107E+00
  80  4  6  97  3    283.10      5.40   -999.99   -999.99    997.00   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     18.00   -999.99   4623.20  6.1839E-03  2.7107E+00
  80  4  6  97  4    283.10      5.80   -999.99   -999.99    997.00   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     18.10   -999.99   4475.40  6.1839E-03  2.7107E+00
  80  4  6  97  5    283.10      5.80   -999.99   -999.99    997.00   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     17.60   -999.99   4230.30  6.1839E-03  2.7107E+00
  80  4  6  97  6    283.10      6.30   -999.99   -999.99    996.30   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.80   -999.99   3960.80  6.1795E-03  2.7088E+00
  80  4  6  97  7    283.10      6.70   -999.99   -999.99    997.00   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.60   -999.99   3945.90  6.1839E-03  2.7107E+00
  80  4  6  97  8    283.90      7.60   -999.99   -999.99    997.60   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.70   -999.99   3833.10  6.1702E-03  2.7047E+00
  80  4  6  97  9    285.50      9.40   -999.99   -999.99    998.30   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.10   -999.99   3610.60  6.1399E-03  2.6915E+00
  80  4  6  97 10    286.40     11.20   -999.99   -999.99    997.00   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     14.30   -999.99   3122.70  6.1126E-03  2.6795E+00
  80  4  6  97 11    288.80     11.60   -999.99   -999.99    995.60   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     12.40   -999.99   2400.40  6.0533E-03  2.6535E+00
  80  4  6  97 12    289.50     11.60   -999.99   -999.99    994.20   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     11.10   -999.99   2269.80  6.0302E-03  2.6434E+00
  80  4  6  97 13    289.50     11.20   -999.99   -999.99    992.90   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     11.40   -999.99   2338.40  6.0223E-03  2.6399E+00
  80  4  6  97 14    290.40     11.60   -999.99   -999.99    991.50   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     11.10   -999.99   2310.80  5.9952E-03  2.6280E+00
  80  4  6  97 15    291.10     12.10   -999.99   -999.99    991.50   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     11.00   -999.99   2297.90  5.9807E-03  2.6217E+00
  80  4  6  97 16    290.40     11.60   -999.99   -999.99    991.50   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     11.00   -999.99   2280.20  5.9952E-03  2.6280E+00
  80  4  6  97 17    290.40      8.00   -999.99   -999.99    991.50   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     11.30   -999.99   2362.90  5.9952E-03  2.6280E+00
  80  4  6  97 18    287.90      5.40   -999.99   -999.99    991.50   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     11.30   -999.99   2382.50  6.0472E-03  2.6508E+00
  80  4  6  97 19    287.10      5.40   -999.99   -999.99    991.50   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     13.50   -999.99   3115.10  6.0641E-03  2.6582E+00
  80  4  6  97 20    287.10      6.30   -999.99   -999.99    991.50   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.80   -999.99   4301.40  6.0641E-03  2.6582E+00
  80  4  6  97 21    286.40      6.70   -999.99   -999.99    990.90   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     21.10   -999.99   4512.70  6.0752E-03  2.6631E+00
  80  4  6  97 22    285.50      5.80   -999.99   -999.99    990.20   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     20.40   -999.99   4841.00  6.0901E-03  2.6696E+00
  80  4  6  97 23    285.50      6.30   -999.99   -999.99    988.80   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     20.40   -999.99   4794.00  6.0814E-03  2.6658E+00
  80  4  6  97 24    284.80      6.30   -999.99   -999.99    988.80   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     19.90   -999.99   4726.90  6.0964E-03  2.6724E+00
  80  4  7  98  1    284.80      5.80   -999.99   -999.99    988.80   -999.99   -999.99   -999.99 -999.9900       4.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     20.00   -999.99   4865.60  6.0964E-03  2.6724E+00
  80  4  7  98  2    284.80      8.00   -999.99   -999.99    988.80   -999.99   -999.99   -999.99 -999.9900       4.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     19.80   -999.99   4734.30  6.0964E-03  2.6724E+00
  80  4  7  98  3    283.90      9.80   -999.99   -999.99    988.80   -999.99   -999.99   -999.99 -999.9900       4.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     19.30   -999.99   4611.40  6.1157E-03  2.6809E+00
  80  4  7  98  4    283.90      5.40   -999.99   -999.99    988.10   -999.99   -999.99   -999.99 -999.9900       4.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     18.20   -999.99   4531.10  6.1114E-03  2.6790E+00
  80  4  7  98  5    283.10      4.90   -999.99   -999.99    988.80   -999.99   -999.99   -999.99 -999.9900       4.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     19.30   -999.99   4957.50  6.1330E-03  2.6884E+00
  80  4  7  98  6    283.10      5.40   -999.99   -999.99    988.80   -999.99   -999.99   -999.99 -999.9900       4.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     21.30   -999.99   5499.50  6.1330E-03  2.6884E+00
  80  4  7  98  7    283.90      5.80   -999.99   -999.99    988.80   -999.99   -999.99   -999.99 -999.9900       4.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     22.70   -999.99   5989.50  6.1157E-03  2.6809E+00
