                     TT10M      WS10M    WD10M     SA10M   PRESSURE RAD-SOLAR RAD-TOTAL   RAD-NET  2-10M DT  Pasquill USTAR-Dry USTAR-Moist OBK-Dry Obk_Moist   ZI-OBS    ZI-DRY   ZI-MOIST  STACK-TT  STACK-VS    Q-SF6     Q-SO2  SF6PPB CONV SO2PPT CONV
  YY MM DD JDAYHR      (K)      (M/S)    (DEG)     (DEG)      (MB)    (W/M^2)   (W/M^2)   (W/M^2)    (C)     Category    (M/S)     (M/S)      (M)       (M)       (M)       (M)       (M)       (K)       (M/S)     (G/S)     (G/S)   (ug/PPB)    (ug/PPT)
  80  4  3  94  1    283.10      4.90   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     14.00   -999.99   2874.70  6.2847E-03  2.7549E+00
  80  4  3  94  2    283.10      4.50   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     15.90   -999.99   3452.00  6.2847E-03  2.7549E+00
  80  4  3  94  3    283.10      4.00   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.00   -999.99   3498.80  6.2847E-03  2.7549E+00
  80  4  3  94  4    283.90      2.70   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.20   -999.99   3470.90  6.2669E-03  2.7472E+00
  80  4  3  94  5    283.90      2.70   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.90   -999.99   3760.30  6.2669E-03  2.7472E+00
  80  4  3  94  6    283.90      2.20   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     17.00   -999.99   3803.50  6.2669E-03  2.7472E+00
  80  4  3  94  7    284.80      2.20   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     17.70   -999.99   3851.80  6.2471E-03  2.7385E+00
  80  4  3  94  8    286.40      2.70   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     18.10   -999.99   4126.20  6.2122E-03  2.7232E+00
  80  4  3  94  9    287.90      1.30   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     18.20   -999.99   4178.00  6.1799E-03  2.7090E+00
  80  4  3  94 10    290.40      1.80   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     17.80   -999.99   4195.70  6.1267E-03  2.6857E+00
  80  4  3  94 11    291.90      1.80   -999.99   -999.99   -999.99   -999.99   -999.99   -999.99 -999.9900      -9.0  -999.990  -999.990   -999.99   -999.99   -999.99   -999.99   -999.99    432.00     16.00   -999.99   4087.40  6.0952E-03  2.6719E+00
