ctrl_id,location,lat_N,lon_W,H12_mR_per_hr,H12_dispersion,TOA_hr,TOA_dispersion,n_points,origin
766,ADAM'S RANCH,38.649,115.063,0.53,1.4,9.29,0.93,4,I
771,ATLANTA,38.464,114.335,0.11,1.4,7.35,0.73,4,I
800,COLE & DOLAN RANCH,38.321,114.409,0.1,1.4,6.44,0.64,3,I
802,COVE,38.948,115.147,0.97,1.4,11.51,1.15,4,I
805,CURRANT,38.737,115.475,0.16,1.4,10.48,1.05,4,I
812,D-X RANCH,39.168,114.401,0.37,1.4,12.72,1.27,4,I
110,EAST ELY,39.241,114.873,0.48,1.2,13.63,1.36,4,R
111,ELY,39.241,114.896,0.48,1.2,13.62,1.36,4,R
817,GEYSER MAINTENANCE STA,38.633,114.639,0.43,1.67,8.76,0.88,3,R
818,GEYSER RANCH,38.669,114.637,0.88,1.67,8.85,0.89,4,I
823,GROOM MINE,37.334,115.763,0.1,1.4,1.2,0.12,4,I
824,GUBLER RANCH,38.766,115.014,0.95,1.4,10.11,1.01,4,I
833,KIMBERLY,39.252,115.024,0.82,1.46,13.68,1.37,4,I
837,LANE CITY,39.26,114.942,1.78,1.66,13.92,1.39,2,R
839,LEHMAN CAVES,39.003,114.257,0.11,1.4,11.18,1.12,4,I
112,MCGILL,39.392,114.787,0.52,1.4,14.0,1.4,4,I
857,MOUNTS RANCH,39.07,114.451,0.32,1.4,11.7,1.17,4,I
872,PRESTON,38.902,115.068,1.0,1.4,11.03,1.1,4,I
878,ROGERS RANCH,39.305,114.477,0.99,1.4,13.69,1.37,4,I
883,RUTH,39.27,114.988,1.25,1.0,14.0,1.4,1,R
890,SHOSHONE,38.835,114.413,0.28,1.4,10.18,1.02,4,
895,STEWARD R. RANCH,38.238,114.709,0.11,1.4,6.0,0.6,4,I
899,SWALOW RANCH,38.917,114.433,0.27,1.4,10.66,1.07,4,
902,URRETIAS RANCH,38.636,114.811,1.0,1.4,9.08,0.91,4,
956,WARM SPRINGS NORTH,39.645,114.814,0.11,1.4,14.0,1.4,4,
908,WATERTOWN,37.289,115.775,0.1,1.4,1.07,0.11,3,
